Error in cpuinfo: prctl(PR_SVE_GET_VL) failed
INFO: Created TensorFlow Lite XNNPACK delegate for CPU.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
W0000 00:00:1767906674.816057 2312371 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
W0000 00:00:1767906674.999445 2312371 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
======================================================================
PERFORMANCE BASELINE TEST - Raspberry Pi
Story 8.2: MediaPipe Tasks API (0.10.18)
======================================================================
Duration: 300s (5 minutes)
Started: 2026-01-08 21:11:05

Importing dependencies...
✅ Imports completed in 8.28s

Creating Flask app...
Initializing CV components...
✅ CV components initialized in 0.62s

Running performance test for 300s...
Target: 10 FPS = 3000 frames

Metrics captured every second:
  - Memory (RSS): Resident Set Size
  - CPU (%): Per-core average
  - FPS: Frames processed per second

[  89s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.22 | Frames:   288 | Crashes: 0
[  90s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.22 | Frames:   291 | Crashes: 0
[  91s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   295 | Crashes: 0
[  92s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.22 | Frames:   299 | Crashes: 0
[  94s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.22 | Frames:   303 | Crashes: 0
[  95s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.22 | Frames:   307 | Crashes: 0
[  96s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.23 | Frames:   311 | Crashes: 0
[  97s] Memory:  241.0 MB | CPU:  10.0% | FPS:  3.23 | Frames:   315 | Crashes: 0
[  98s] Memory:  241.0 MB | CPU:   9.9% | FPS:  3.22 | Frames:   318 | Crashes: 0
[ 100s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.22 | Frames:   322 | Crashes: 0
[ 101s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.22 | Frames:   326 | Crashes: 0
[ 102s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   330 | Crashes: 0
[ 103s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.22 | Frames:   334 | Crashes: 0
[ 105s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.22 | Frames:   338 | Crashes: 0
[ 106s] Memory:  241.0 MB | CPU:   9.9% | FPS:  3.22 | Frames:   342 | Crashes: 0
[ 107s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.22 | Frames:   345 | Crashes: 0
[ 108s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   348 | Crashes: 0
[ 109s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   351 | Crashes: 0
[ 110s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   355 | Crashes: 0
[ 111s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   358 | Crashes: 0
[ 112s] Memory:  241.0 MB | CPU:   9.6% | FPS:  3.20 | Frames:   362 | Crashes: 0
[ 114s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   366 | Crashes: 0
[ 115s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   370 | Crashes: 0
[ 116s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   373 | Crashes: 0
[ 117s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.19 | Frames:   376 | Crashes: 0
[ 118s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.19 | Frames:   379 | Crashes: 0
[ 119s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   383 | Crashes: 0
[ 121s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   387 | Crashes: 0
[ 122s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   391 | Crashes: 0
[ 123s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   395 | Crashes: 0
[ 124s] Memory:  241.0 MB | CPU:   9.2% | FPS:  3.20 | Frames:   399 | Crashes: 0
[ 125s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   403 | Crashes: 0
[ 126s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   406 | Crashes: 0
[ 128s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   410 | Crashes: 0
[ 129s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   413 | Crashes: 0
[ 130s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   417 | Crashes: 0
[ 131s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   421 | Crashes: 0
[ 132s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   425 | Crashes: 0
[ 133s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   429 | Crashes: 0
[ 135s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   432 | Crashes: 0
[ 136s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   436 | Crashes: 0
[ 137s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   439 | Crashes: 0
[ 138s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   443 | Crashes: 0
[ 139s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   447 | Crashes: 0
[ 140s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   451 | Crashes: 0
[ 141s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   455 | Crashes: 0
[ 143s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   458 | Crashes: 0
[ 144s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   462 | Crashes: 0
[ 145s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   466 | Crashes: 0
[ 146s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   469 | Crashes: 0
[ 147s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   472 | Crashes: 0
[ 148s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   475 | Crashes: 0
[ 149s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   479 | Crashes: 0
[ 151s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   483 | Crashes: 0
[ 152s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   487 | Crashes: 0
[ 153s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   491 | Crashes: 0
[ 154s] Memory:  241.0 MB | CPU:   9.9% | FPS:  3.20 | Frames:   495 | Crashes: 0
[ 155s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   498 | Crashes: 0
[ 156s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   501 | Crashes: 0
[ 157s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   505 | Crashes: 0
[ 158s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   509 | Crashes: 0
[ 159s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   513 | Crashes: 0
[ 160s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   516 | Crashes: 0
[ 162s] Memory:  241.0 MB | CPU:  10.0% | FPS:  3.21 | Frames:   520 | Crashes: 0
[ 163s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   523 | Crashes: 0
[ 164s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   527 | Crashes: 0
[ 165s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   531 | Crashes: 0
[ 166s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   535 | Crashes: 0
[ 168s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   539 | Crashes: 0
[ 169s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   543 | Crashes: 0
[ 170s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   546 | Crashes: 0
[ 171s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   549 | Crashes: 0
[ 172s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   552 | Crashes: 0
[ 173s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   555 | Crashes: 0
[ 174s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   559 | Crashes: 0
[ 175s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   563 | Crashes: 0
[ 176s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   567 | Crashes: 0
[ 177s] Memory:  241.0 MB | CPU:  10.0% | FPS:  3.21 | Frames:   571 | Crashes: 0
[ 179s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   575 | Crashes: 0
[ 180s] Memory:  241.0 MB | CPU:  10.0% | FPS:  3.21 | Frames:   578 | Crashes: 0
[ 181s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   582 | Crashes: 0
[ 182s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   585 | Crashes: 0
[ 183s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   589 | Crashes: 0
[ 184s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   593 | Crashes: 0
[ 185s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   597 | Crashes: 0
[ 187s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   601 | Crashes: 0
[ 188s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   605 | Crashes: 0
[ 189s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   609 | Crashes: 0
[ 190s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   613 | Crashes: 0
[ 192s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   617 | Crashes: 0
[ 193s] Memory:  241.0 MB | CPU:   9.2% | FPS:  3.21 | Frames:   620 | Crashes: 0
[ 194s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   624 | Crashes: 0
[ 195s] Memory:  241.0 MB | CPU:   9.9% | FPS:  3.21 | Frames:   627 | Crashes: 0
[ 196s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   630 | Crashes: 0
[ 197s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   634 | Crashes: 0
[ 198s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   638 | Crashes: 0
[ 200s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   642 | Crashes: 0
[ 201s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   645 | Crashes: 0
[ 202s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   649 | Crashes: 0
[ 203s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   653 | Crashes: 0
[ 204s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   656 | Crashes: 0
[ 205s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   660 | Crashes: 0
[ 206s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   664 | Crashes: 0
[ 208s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   668 | Crashes: 0
[ 209s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   672 | Crashes: 0
[ 210s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   675 | Crashes: 0
[ 211s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   679 | Crashes: 0
[ 212s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   683 | Crashes: 0
[ 214s] Memory:  241.0 MB | CPU:   9.8% | FPS:  3.21 | Frames:   687 | Crashes: 0
[ 215s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   691 | Crashes: 0
[ 216s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   694 | Crashes: 0
[ 217s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   697 | Crashes: 0
